lat,lng
40.4492,-122.301
36.8074,-119.826
33.7599,-117.869
37.3022,-120.483
40.5117,-122.299
38.0022,-121.3
37.928,-122.336
38.5418,-121.461
37.7429,-122.413
36.3136,-121.354
33.93,-118.292
37.8136,-122.272
37.3591,-121.824
36.7683,-119.848
38.5576,-121.511
34.0765,-118.026
37.9382,-121.29
37.6959,-122.044
34.1795,-117.309
34.0153,-118.414
37.9543,-121.259
37.7832,-122.411
38.0164,-121.907
33.7749,-118.189
33.9123,-118.278
33.9112,-117.903
34.1065,-118.368
35.4093,-118.954
34.1072,-118.37
33.7751,-118.178
38.5674,-121.482
33.9726,-118.358
33.7753,-118.178
37.9172,-122.326
39.1274,-121.726
36.0587,-119.025
33.9957,-118.283
33.9316,-118.125
37.6689,-122.115
35.4049,-119.025
34.0261,-118.215
33.8876,-118.226
38.5483,-121.428
37.807,-122.297
32.7022,-117.112
36.0733,-119.044
37.6213,-122.379
36.7394,-119.693
37.7287,-122.373
37.3382,-121.886
33.9774,-118.329
37.5612,-122.021
34.1563,-118.826
37.2971,-121.784
33.9382,-118.309
37.8331,-122.273
38.0034,-121.297
33.9746,-118.316
34.1449,-117.265
37.9808,-121.344
34.0522,-118.244
38.568,-121.496
37.7807,-122.417
37.9382,-121.29
38.5726,-121.497
34.364,-119.059
34.017,-118.316
36.767,-119.77
37.3377,-121.887
37.2555,-121.876
37.3294,-121.832
37.9583,-121.243
34.1111,-117.543
