lat,lng
41.7135,-87.5701
41.7783,-87.6063
41.8205,-87.6861
41.8154,-87.6713
41.9406,-87.7494
41.6852,-87.6337
41.7222,-87.5948
42.0129,-87.6624
41.7118,-87.6201
41.7462,-87.5492
41.9095,-87.7497
41.9654,-87.6597
41.684,-87.6179
41.8797,-87.7256
41.8131,-87.6246
41.7048,-87.6283
41.648,-87.614
41.726,-87.5855
41.7552,-87.5516
41.6862,-87.6496
41.8405,-87.7269
41.9066,-87.697
41.8674,-87.7229
41.8775,-87.7618
41.874,-87.7451
41.8778,-87.7649
41.7527,-87.6029
41.7587,-87.5896
41.862,-87.73
41.899,-87.7316
41.7393,-87.6881
41.6835,-87.6277
41.794,-87.6289
41.676,-87.6418
41.9476,-87.669
41.8804,-87.7601
41.7731,-87.5914
41.8064,-87.6601
41.8481,-87.71
41.8837,-87.7097
41.809,-87.6249
41.6643,-87.633
41.8911,-87.7678
41.8919,-87.6177
41.891,-87.6178
41.8622,-87.7352
41.9519,-87.7621
41.6744,-87.6204
41.7903,-87.6549
41.7133,-87.6358
41.7468,-87.623
41.9203,-87.7735
41.7775,-87.6667
41.7533,-87.6745
41.8364,-87.6658
41.7197,-87.5633
41.6574,-87.6076
41.9222,-87.8063
41.9666,-87.7145
41.9162,-87.8023
41.7515,-87.5769
41.8454,-87.7125
41.7337,-87.5541
41.8096,-87.5925
41.8522,-87.6734
41.8465,-87.6758
41.8843,-87.7635
41.8809,-87.711
41.7392,-87.5528
41.9114,-87.7622
41.7627,-87.6848
